path	type	review_status	brief_notes	removal_candidate_tags	required_kept_tags	fantasy_usage	server_api_surface	configuration	tests_docs_build_release
internal/agent/testdata/TestCoderAgent/openrouter-kimi-k2/multiedit_tool.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/openrouter-kimi-k2/parallel_tool_calls.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior. Parallel tool execution touch point or fixture.	parallel-tools		no	no	no	yes
internal/agent/testdata/TestCoderAgent/openrouter-kimi-k2/read_a_file.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/openrouter-kimi-k2/simple_test.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/openrouter-kimi-k2/sourcegraph_tool.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/openrouter-kimi-k2/update_a_file.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/openrouter-kimi-k2/write_tool.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/zai-glm4.6/bash_tool.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/zai-glm4.6/download_tool.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/zai-glm4.6/fetch_tool.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/zai-glm4.6/glob_tool.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/zai-glm4.6/grep_tool.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/zai-glm4.6/ls_tool.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/zai-glm4.6/multiedit_tool.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/zai-glm4.6/parallel_tool_calls.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior. Parallel tool execution touch point or fixture.	parallel-tools		no	no	no	yes
internal/agent/testdata/TestCoderAgent/zai-glm4.6/read_a_file.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/zai-glm4.6/simple_test.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/zai-glm4.6/sourcegraph_tool.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/zai-glm4.6/update_a_file.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/zai-glm4.6/write_tool.yaml	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/tools/bash.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface.			yes	no	no	no
internal/agent/tools/bash.tpl	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface.			no	no	no	no
internal/agent/tools/bash_test.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior. Built-in agent tool implementation or description surface.			yes	no	no	yes
internal/agent/tools/context_test.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior. Built-in agent tool implementation or description surface.			no	no	no	yes
internal/agent/tools/diagnostics.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface. LSP integration or LSP-facing tool surface targeted for removal.	lsp		yes	no	no	no
internal/agent/tools/diagnostics.md	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface. Tool or prompt documentation artifact.			no	no	no	yes
internal/agent/tools/download.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface. Standalone download tool slated for removal in light variant. Parallel tool execution touch point or fixture.	remote-research-tools;parallel-tools		yes	no	no	no
internal/agent/tools/download.md	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface. Standalone download tool slated for removal in light variant. Tool or prompt documentation artifact.	remote-research-tools		no	no	no	yes
internal/agent/tools/edit.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface.			yes	no	no	no
internal/agent/tools/edit.md	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface. Tool or prompt documentation artifact.			no	no	no	yes
internal/agent/tools/fetch.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface. Parallel tool execution touch point or fixture.	parallel-tools		yes	no	no	no
internal/agent/tools/fetch.md	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface. Tool or prompt documentation artifact.			no	no	no	yes
internal/agent/tools/fetch_helpers.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface.			no	no	no	no
internal/agent/tools/fetch_types.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface.			no	no	no	no
internal/agent/tools/glob.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface.			yes	no	no	no
internal/agent/tools/glob.md	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface. Tool or prompt documentation artifact.			no	no	no	yes
internal/agent/tools/grep.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface.			yes	no	no	no
internal/agent/tools/grep.md	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface. Tool or prompt documentation artifact.			no	no	no	yes
internal/agent/tools/grep_test.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior. Built-in agent tool implementation or description surface.			no	no	no	yes
internal/agent/tools/job_kill.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface.			yes	no	no	no
internal/agent/tools/job_kill.md	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface. Tool or prompt documentation artifact.			no	no	no	yes
internal/agent/tools/job_output.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface.			yes	no	no	no
internal/agent/tools/job_output.md	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface. Tool or prompt documentation artifact.			no	no	no	yes
internal/agent/tools/job_test.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior. Built-in agent tool implementation or description surface.			no	no	no	yes
internal/agent/tools/list_mcp_resources.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface. MCP integration surface targeted for removal. Parallel tool execution touch point or fixture.	mcp;parallel-tools		yes	no	no	no
internal/agent/tools/list_mcp_resources.md	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface. MCP integration surface targeted for removal. Tool or prompt documentation artifact.	mcp		no	no	no	yes
internal/agent/tools/ls.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface.			yes	no	no	no
internal/agent/tools/ls.md	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface. Tool or prompt documentation artifact.			no	no	no	yes
internal/agent/tools/lsp_restart.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface. LSP integration or LSP-facing tool surface targeted for removal.	lsp		yes	no	no	no
internal/agent/tools/lsp_restart.md	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface. LSP integration or LSP-facing tool surface targeted for removal. Tool or prompt documentation artifact.	lsp		no	no	no	yes
internal/agent/tools/mcp-tools.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface. MCP integration surface targeted for removal.	mcp		yes	no	no	no
internal/agent/tools/mcp/init.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface. MCP integration surface targeted for removal.	mcp		no	no	no	no
internal/agent/tools/mcp/init_test.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior. Built-in agent tool implementation or description surface. MCP integration surface targeted for removal.	mcp		no	no	no	yes
internal/agent/tools/mcp/prompts.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface. MCP integration surface targeted for removal.	mcp		no	no	no	no
internal/agent/tools/mcp/resources.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface. MCP integration surface targeted for removal.	mcp		no	no	no	no
internal/agent/tools/mcp/tools.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface. MCP integration surface targeted for removal.	mcp		no	no	no	no
internal/agent/tools/mcp/tools_test.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior. Built-in agent tool implementation or description surface. MCP integration surface targeted for removal.	mcp		no	no	no	yes
internal/agent/tools/multiedit.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface.			yes	no	no	no
internal/agent/tools/multiedit.md	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface. Tool or prompt documentation artifact.			no	no	no	yes
internal/agent/tools/multiedit_test.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior. Built-in agent tool implementation or description surface.			no	no	no	yes
internal/agent/tools/read_mcp_resource.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface. MCP integration surface targeted for removal. Parallel tool execution touch point or fixture.	mcp;parallel-tools		yes	no	no	no
internal/agent/tools/read_mcp_resource.md	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface. MCP integration surface targeted for removal. Tool or prompt documentation artifact.	mcp		no	no	no	yes
internal/agent/tools/references.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface. LSP integration or LSP-facing tool surface targeted for removal.	lsp		yes	no	no	no
internal/agent/tools/references.md	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface. Tool or prompt documentation artifact.			no	no	no	yes
internal/agent/tools/rg.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface.			no	no	no	no
internal/agent/tools/safe.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface.			no	no	no	no
internal/agent/tools/search.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface.			no	no	no	no
internal/agent/tools/sourcegraph.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface. Optional remote code-search tool candidate for light variant removal. Parallel tool execution touch point or fixture.	remote-research-tools;parallel-tools		yes	no	no	no
internal/agent/tools/sourcegraph.md	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface. Optional remote code-search tool candidate for light variant removal. Tool or prompt documentation artifact.	remote-research-tools		no	no	no	yes
internal/agent/tools/testdata/grep.txt	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior. Built-in agent tool implementation or description surface.			no	no	no	yes
internal/agent/tools/todos.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface.	todos		yes	no	no	no
internal/agent/tools/todos.md	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface. Tool or prompt documentation artifact.	todos		no	no	no	yes
internal/agent/tools/tools.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface.			no	no	no	no
internal/agent/tools/view.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface.			yes	no	no	no
internal/agent/tools/view.md	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface. Tool or prompt documentation artifact.			no	no	no	yes
internal/agent/tools/view_test.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior. Built-in agent tool implementation or description surface.			no	no	no	yes
internal/agent/tools/web_fetch.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface. Sub-agent or remote research tooling surface targeted for removal. Parallel tool execution touch point or fixture.	sub-agents;parallel-tools		yes	no	no	no
internal/agent/tools/web_fetch.md	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface. Tool or prompt documentation artifact.			no	no	no	yes
internal/agent/tools/web_search.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface. Sub-agent or remote research tooling surface targeted for removal. Parallel tool execution touch point or fixture.	sub-agents;parallel-tools		yes	no	no	no
internal/agent/tools/web_search.md	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface. Tool or prompt documentation artifact.			no	no	no	yes
internal/agent/tools/write.go	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface.			yes	no	no	no
internal/agent/tools/write.md	file	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface. Tool or prompt documentation artifact.			no	no	no	yes
internal/ansiext/ansi.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/app/app.go	file	reviewed	Application wiring for services, config, agent coordination, and lifecycle.		server-api	yes	no	no	no
internal/app/app_test.go	file	reviewed	Application wiring for services, config, agent coordination, and lifecycle.		server-api	no	no	no	yes
internal/app/lsp_events.go	file	reviewed	Application wiring for services, config, agent coordination, and lifecycle. LSP integration or LSP-facing tool surface targeted for removal.	lsp	server-api	no	no	no	no
internal/app/provider.go	file	reviewed	Application wiring for services, config, agent coordination, and lifecycle.		server-api	no	no	no	no
internal/app/provider_test.go	file	reviewed	Application wiring for services, config, agent coordination, and lifecycle.		server-api	no	no	no	yes
internal/app/resolve_session_test.go	file	reviewed	Application wiring for services, config, agent coordination, and lifecycle.		server-api	no	no	no	yes
internal/backend/agent.go	file	reviewed	HTTP or client/server surface that must remain while feature-specific endpoints shrink later.		server-api	no	yes	no	no
internal/backend/backend.go	file	reviewed	HTTP or client/server surface that must remain while feature-specific endpoints shrink later.		server-api	no	yes	no	no
internal/backend/config.go	file	reviewed	HTTP or client/server surface that must remain while feature-specific endpoints shrink later.		server-api	no	yes	no	no
internal/backend/events.go	file	reviewed	HTTP or client/server surface that must remain while feature-specific endpoints shrink later.		server-api	no	yes	no	no
internal/backend/filetracker.go	file	reviewed	HTTP or client/server surface that must remain while feature-specific endpoints shrink later.		server-api	no	yes	no	no
internal/backend/permission.go	file	reviewed	HTTP or client/server surface that must remain while feature-specific endpoints shrink later.		server-api	no	yes	no	no
internal/backend/session.go	file	reviewed	HTTP or client/server surface that must remain while feature-specific endpoints shrink later.		server-api	no	yes	no	no
internal/backend/util.go	file	reviewed	HTTP or client/server surface that must remain while feature-specific endpoints shrink later.		server-api	no	yes	no	no
internal/client/client.go	file	reviewed	HTTP or client/server surface that must remain while feature-specific endpoints shrink later.		server-api	no	yes	no	no
internal/client/config.go	file	reviewed	HTTP or client/server surface that must remain while feature-specific endpoints shrink later.		server-api	no	yes	no	no
internal/client/dial_other.go	file	reviewed	HTTP or client/server surface that must remain while feature-specific endpoints shrink later.		server-api	no	yes	no	no
internal/client/dial_windows.go	file	reviewed	HTTP or client/server surface that must remain while feature-specific endpoints shrink later.		server-api	no	yes	no	no
internal/client/proto.go	file	reviewed	HTTP or client/server surface that must remain while feature-specific endpoints shrink later.		server-api	no	yes	no	no
internal/cmd/dirs.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/cmd/dirs_test.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	yes
internal/cmd/gitignore/default	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/cmd/gitignore/old	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/cmd/login.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/cmd/logs.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/cmd/models.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/cmd/projects.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/cmd/projects_test.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	yes
internal/cmd/root.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/cmd/root_other.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/cmd/root_windows.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/cmd/run.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/cmd/schema.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/cmd/server.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/cmd/server_other.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/cmd/server_windows.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/cmd/session.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/cmd/stats.go	file	reviewed	User-facing stats/dashboard tooling; additional light-variant removal candidate.			no	no	no	yes
internal/cmd/stats/AGENTS.md	file	reviewed	User-facing stats/dashboard tooling; additional light-variant removal candidate.			no	no	no	yes
internal/cmd/stats/footer.svg	file	reviewed	User-facing stats/dashboard tooling; additional light-variant removal candidate.			no	no	no	yes
internal/cmd/stats/header.svg	file	reviewed	User-facing stats/dashboard tooling; additional light-variant removal candidate.			no	no	no	yes
internal/cmd/stats/heartbit.svg	file	reviewed	User-facing stats/dashboard tooling; additional light-variant removal candidate.			no	no	no	yes
internal/cmd/stats/index.css	file	reviewed	User-facing stats/dashboard tooling; additional light-variant removal candidate.			no	no	no	yes
internal/cmd/stats/index.html	file	reviewed	User-facing stats/dashboard tooling; additional light-variant removal candidate.			no	no	no	yes
internal/cmd/stats/index.js	file	reviewed	User-facing stats/dashboard tooling; additional light-variant removal candidate.			no	no	no	yes
internal/cmd/update_providers.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/commands/commands.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/commands/commands_test.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	yes
internal/config/agent_id_test.go	file	reviewed	Configuration schema and load/merge logic for kept and removable features.	mcp;lsp;nix-home-manager;sub-agents;parallel-tools	oauth-and-byok;model-picker	no	no	yes	yes
internal/config/attribution_migration_test.go	file	reviewed	Configuration schema and load/merge logic for kept and removable features.	mcp;lsp;nix-home-manager;sub-agents;parallel-tools	oauth-and-byok;model-picker	no	no	yes	yes
internal/config/catwalk.go	file	reviewed	Configuration schema and load/merge logic for kept and removable features.	mcp;lsp;nix-home-manager;sub-agents;parallel-tools	oauth-and-byok;model-picker	no	no	yes	no
internal/config/catwalk_test.go	file	reviewed	Configuration schema and load/merge logic for kept and removable features.	mcp;lsp;nix-home-manager;sub-agents;parallel-tools	oauth-and-byok;model-picker	no	no	yes	yes
internal/config/config.go	file	reviewed	Configuration schema and load/merge logic for kept and removable features.	mcp;lsp;nix-home-manager;sub-agents;parallel-tools	oauth-and-byok;model-picker	no	no	yes	no
internal/config/copilot.go	file	reviewed	Configuration schema and load/merge logic for kept and removable features.	mcp;lsp;nix-home-manager;sub-agents;parallel-tools	oauth-and-byok;model-picker	no	no	yes	no
internal/config/docker_mcp.go	file	reviewed	Configuration schema and load/merge logic for kept and removable features.	mcp;lsp;nix-home-manager;sub-agents;parallel-tools	oauth-and-byok;model-picker	no	no	yes	no
internal/config/docker_mcp_test.go	file	reviewed	Configuration schema and load/merge logic for kept and removable features.	mcp;lsp;nix-home-manager;sub-agents;parallel-tools	oauth-and-byok;model-picker	no	no	yes	yes
internal/config/hyper.go	file	reviewed	Configuration schema and load/merge logic for kept and removable features.	mcp;lsp;nix-home-manager;sub-agents;parallel-tools	oauth-and-byok;model-picker	no	no	yes	no
internal/config/hyper_test.go	file	reviewed	Configuration schema and load/merge logic for kept and removable features.	mcp;lsp;nix-home-manager;sub-agents;parallel-tools	oauth-and-byok;model-picker	no	no	yes	yes
internal/config/init.go	file	reviewed	Configuration schema and load/merge logic for kept and removable features.	mcp;lsp;nix-home-manager;sub-agents;parallel-tools	oauth-and-byok;model-picker	no	no	yes	no
internal/config/load.go	file	reviewed	Configuration schema and load/merge logic for kept and removable features.	mcp;lsp;nix-home-manager;sub-agents;parallel-tools	oauth-and-byok;model-picker	no	no	yes	no
internal/config/load_bench_test.go	file	reviewed	Configuration schema and load/merge logic for kept and removable features.	mcp;lsp;nix-home-manager;sub-agents;parallel-tools	oauth-and-byok;model-picker	no	no	yes	yes
internal/config/load_test.go	file	reviewed	Configuration schema and load/merge logic for kept and removable features.	mcp;lsp;nix-home-manager;sub-agents;parallel-tools	oauth-and-byok;model-picker	no	no	yes	yes
internal/config/lsp_defaults_test.go	file	reviewed	LSP integration or LSP-facing tool surface targeted for removal. Configuration schema and load/merge logic for kept and removable features.	lsp;mcp;nix-home-manager;sub-agents;parallel-tools	oauth-and-byok;model-picker	no	no	yes	yes
internal/config/provider.go	file	reviewed	Configuration schema and load/merge logic for kept and removable features.	mcp;lsp;nix-home-manager;sub-agents;parallel-tools	oauth-and-byok;model-picker	no	no	yes	no
internal/config/provider_empty_test.go	file	reviewed	Configuration schema and load/merge logic for kept and removable features.	mcp;lsp;nix-home-manager;sub-agents;parallel-tools	oauth-and-byok;model-picker	no	no	yes	yes
internal/config/provider_test.go	file	reviewed	Configuration schema and load/merge logic for kept and removable features.	mcp;lsp;nix-home-manager;sub-agents;parallel-tools	oauth-and-byok;model-picker	no	no	yes	yes
internal/config/recent_models_test.go	file	reviewed	Configuration schema and load/merge logic for kept and removable features.	mcp;lsp;nix-home-manager;sub-agents;parallel-tools	oauth-and-byok;model-picker	no	no	yes	yes
internal/config/resolve.go	file	reviewed	Configuration schema and load/merge logic for kept and removable features.	mcp;lsp;nix-home-manager;sub-agents;parallel-tools	oauth-and-byok;model-picker	no	no	yes	no
internal/config/resolve_test.go	file	reviewed	Configuration schema and load/merge logic for kept and removable features.	mcp;lsp;nix-home-manager;sub-agents;parallel-tools	oauth-and-byok;model-picker	no	no	yes	yes
internal/config/scope.go	file	reviewed	Configuration schema and load/merge logic for kept and removable features.	mcp;lsp;nix-home-manager;sub-agents;parallel-tools	oauth-and-byok;model-picker	no	no	yes	no
internal/config/store.go	file	reviewed	Configuration schema and load/merge logic for kept and removable features.	mcp;lsp;nix-home-manager;sub-agents;parallel-tools	oauth-and-byok;model-picker	no	no	yes	no
internal/config/store_test.go	file	reviewed	Configuration schema and load/merge logic for kept and removable features.	mcp;lsp;nix-home-manager;sub-agents;parallel-tools	oauth-and-byok;model-picker	no	no	yes	yes
internal/csync/doc.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/csync/maps.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/csync/maps_test.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	yes
internal/csync/slices.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/csync/slices_test.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	yes
internal/csync/value.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/csync/value_test.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	yes
internal/csync/versionedmap.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/csync/versionedmap_test.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	yes
internal/db/connect.go	file	reviewed	SQLite schema, migrations, or queries with session/todo persistence touch points.	todos	sessions-and-history	no	no	no	no
internal/db/connect_modernc.go	file	reviewed	SQLite schema, migrations, or queries with session/todo persistence touch points.	todos	sessions-and-history	no	no	no	no
internal/db/connect_ncruces.go	file	reviewed	SQLite schema, migrations, or queries with session/todo persistence touch points.	todos	sessions-and-history	no	no	no	no
internal/db/db.go	file	reviewed	SQLite schema, migrations, or queries with session/todo persistence touch points.	todos	sessions-and-history	no	no	no	no
internal/db/embed.go	file	reviewed	SQLite schema, migrations, or queries with session/todo persistence touch points.	todos	sessions-and-history	no	no	no	no
internal/db/files.sql.go	file	reviewed	SQLite schema, migrations, or queries with session/todo persistence touch points.	todos	sessions-and-history	no	no	no	no
internal/db/messages.sql.go	file	reviewed	SQLite schema, migrations, or queries with session/todo persistence touch points.	todos	sessions-and-history	no	no	no	no
internal/db/migrations/20250424200609_initial.sql	file	reviewed	SQLite schema, migrations, or queries with session/todo persistence touch points.	todos	sessions-and-history	no	no	no	no
internal/db/migrations/20250515105448_add_summary_message_id.sql	file	reviewed	SQLite schema, migrations, or queries with session/todo persistence touch points.	todos	sessions-and-history	no	no	no	no
internal/db/migrations/20250624000000_add_created_at_indexes.sql	file	reviewed	SQLite schema, migrations, or queries with session/todo persistence touch points.	todos	sessions-and-history	no	no	no	no
internal/db/migrations/20250627000000_add_provider_to_messages.sql	file	reviewed	SQLite schema, migrations, or queries with session/todo persistence touch points.	todos	sessions-and-history	no	no	no	no
internal/db/migrations/20250810000000_add_is_summary_message.sql	file	reviewed	SQLite schema, migrations, or queries with session/todo persistence touch points.	todos	sessions-and-history	no	no	no	no
internal/db/migrations/20250812000000_add_todos_to_sessions.sql	file	reviewed	SQLite schema, migrations, or queries with session/todo persistence touch points.	todos	sessions-and-history	no	no	no	no
internal/db/migrations/20260127000000_add_read_files_table.sql	file	reviewed	SQLite schema, migrations, or queries with session/todo persistence touch points.	todos	sessions-and-history	no	no	no	no
internal/db/models.go	file	reviewed	SQLite schema, migrations, or queries with session/todo persistence touch points.	todos	sessions-and-history	no	no	no	no
internal/db/querier.go	file	reviewed	SQLite schema, migrations, or queries with session/todo persistence touch points.	todos	sessions-and-history	no	no	no	no
